name,WGS84 longitude,WGS84 latitude
Glendhu,174.71035336258504,-36.772063826285304
Avondale South,174.70080190644256,-36.91460030369608
Birkdale North,174.7004856266904,-36.79211326487529
Auckland Harbourside,174.7710159916443,-36.84402787468164
Riverhead Urban,174.59453871766038,-36.75462383336182
Rakitu Island,175.49762879541447,-36.12643868503352
Red Beach West,174.69171821574744,-36.60719138560641
Grey Lynn West,174.73629968900326,-36.85880031719531
Little Barrier Island,175.08290755053682,-36.20122338605409
Red Beach East,174.70504952191666,-36.606031513962996
Mangere Bridge,174.7871962007365,-36.948195134280105
Swanson,174.580498243879,-36.86414114912234
Mt Victoria,174.80127421796735,-36.82635334156179
Penrose,174.81580826246588,-36.91897173303551
Mission Bay,174.83439598379098,-36.85789985728558
Glendene North,174.65219563065313,-36.88894338329441
Kaukapakapa Rural,174.48954883643827,-36.61733907083657
Sunnyhills,174.87611410539697,-36.90592332429336
Eden Road-Hill Top,174.8740837570661,-37.20721750150518
Harania North,174.81024544579185,-36.96172979163455
Castor Bay,174.76226530256844,-36.75797624898938
Lake Pupuke,174.7651375155149,-36.77193797601798
Silverdale North,174.6601633383393,-36.58858828860345
Beaumont,174.9010378741593,-37.03086175899052
Pakuranga Central,174.8783996603539,-36.91549672893154
Point England,174.86535846136448,-36.883869044971846
Northcote South,174.74291945626467,-36.81357751050369
Parakai Urban,174.4346529276644,-36.65640141744115
South Waiuku,174.73972563429328,-37.25998194101143
Sunnynook,174.74082139680013,-36.754069104047275
Rewarewa,174.68286330392598,-36.92031829270735
Wymondley,174.85738814998373,-36.954067320173785
Takanini North,174.9293500629512,-37.031536350343494
Glenavon,174.7000512838316,-36.905656718524575
Pukekohe West,174.89187457712086,-37.210917797509204
Windy Ridge,174.71622475760748,-36.79591921244206
Oranga,174.7988971925553,-36.91144004386413
Kohimarama East,174.84906817385308,-36.86021560698451
Drury,174.99004577055803,-37.0881194893434
Orewa West,174.6760864348177,-36.57576774180615
Donegal Park,174.90965859005146,-36.97877902459077
Redoubt East,174.9430080147737,-36.99211120385092
Tauhoa-Puhoi,174.50711282095583,-36.4346447250943
Parnell West,174.7800175782597,-36.85570565946035
Ferguson,174.8825349371418,-36.96616949225192
Henderson South,174.6298844276095,-36.88658268886035
Crown Hill,174.75694733006918,-36.76412881827956
Bayswater,174.77814050212814,-36.813873108559534
Stillwater,174.71614446223916,-36.63819204511824
Panmure Basin,174.852730773048,-36.9042150916064
Eden Terrace,174.75609359309723,-36.86581426382442
Onehunga South West,174.77506271692954,-36.922035349348185
Burswood,174.89754089904906,-36.92367686754567
Burbank,174.86797678522424,-37.02138616640433
Herald,174.6398439087701,-36.779504168965865
Sunnyvale,174.64255618260594,-36.89955825179287
Meadowbank North,174.8289337168959,-36.871117144844625
Rosebank,174.67575645184527,-36.87922913566232
Puhinui South,174.87009952785573,-36.98746028827501
Rothesay Bay,174.7425556014204,-36.72416296236363
Waiheke Island,175.10361703892534,-36.79592403604037
Hillpark,174.8994178202096,-37.015116793054055
Kawakawa-Orere,175.20587850467484,-36.986042959210835
Mahurangi,174.7432778558346,-36.461715806364424
Kingdale,174.63046520684526,-36.85486364815531
Wiri,174.88300380354022,-37.00363219800053
Waimumu South,174.61640591917862,-36.8495958639759
Massey Park,174.95417941648284,-37.062702098366685
Puhinui North,174.86387255642688,-36.983678013394105
Herne Bay,174.73191887982327,-36.84459442065627
North Harbour West,174.68815930770344,-36.745416368717244
New Lynn North,174.6751609181559,-36.90330067427166
Epsom Central,174.76989758401643,-36.88776737128536
Papakura East,174.96555300955893,-37.059583702163
Cape Rodney South,174.70279986702934,-36.34643851632382
Manukau Central,174.8473644457122,-37.005068751106705
Mokohinau Island,175.13087983404006,-35.92358952781342
Te Papapa,174.80008360232955,-36.92342661110167
Palm Heights,174.61072958457376,-36.89382667754971
Otara West,174.86589229322936,-36.954149418949285
Glen Innes East,174.8726678885773,-36.87336991968837
Sherbourne,174.75927235701985,-36.876093017762315
Glenfield Central,174.72721290950605,-36.78430653148387
Manly,174.75940133517096,-36.630387875437094
Howick Central,174.92688133305256,-36.900442670489014
Forrest Hill,174.74593617811146,-36.76631569038675
Greenmount,174.90119950905623,-36.941943878281144
Oratia West,174.62036401852586,-36.9081782667575
Henderson North,174.63172296332343,-36.87617706788284
Epsom South,174.76685951184953,-36.89627035215658
Leabank,174.8885273309557,-37.03273873979928
Weiti River,174.68489360385698,-36.61891899673164
Waitaramoa,174.79442232572953,-36.87204776842989
Waitakere,174.54348911608483,-36.86038164789155
Tangutu,174.6364596077249,-36.91537429868822
Wattle Farm,174.8873715223972,-37.04712408369468
Papakura South,174.9624411153518,-37.072339552284994
Vipond,174.7172842988466,-36.61755565183551
Pakuranga East,174.8882501341029,-36.91507152540192
Point Wells,174.75641423686596,-36.32383437281801
Opanuku,174.5748022708498,-36.90553433827728
Titirangi South,174.6555422604965,-36.94696088345191
Snells Beach,174.71615564413523,-36.412309882589035
Point Chevalier East,174.71019382508874,-36.86310267186116
Witheford,174.7100297150307,-36.77946102898112
St Marys,174.745019047857,-36.84304361018424
Westmere,174.720477037691,-36.857212228769924
Kawau,174.84776491844386,-36.42759380562074
Great Barrier Island,175.4232632032306,-36.20106367416319
Tamaki,174.8617904582852,-36.896123066582554
Lucken Point,174.63769027692516,-36.81509996336759
Hatfields Beach,174.69011373627166,-36.56956467963478
Crum Park,174.6659156336197,-36.92828013688731
Clendon South,174.86184090295583,-37.03231599644607
Buckland,174.92631289605177,-37.22743260712502
Dingwall,174.86178707784984,-36.96567525508496
Konini,174.6437120309511,-36.929207037688286
Wesley,174.73200859617288,-36.90623210008719
Parakai Rural,174.4111895496954,-36.672671513421925
Viscount,174.79002660121944,-36.965678618691506
Weymouth East,174.8715532819055,-37.04061260455541
Akarana,174.74031902609966,-36.91282139872477
Pukekohe North,174.90778630206032,-37.191464357572734
Glamorgan,174.73565442794973,-36.70279893583797
Glendowie,174.87371234949532,-36.85539432209488
Kohuora,174.83987952294817,-36.979768084033424
Rewiti,174.44982123491502,-36.777350644704825
Waiuku East,174.73850966414693,-37.24782731116459
Silverdale South,174.69807156946246,-36.65047074472566
Mangere Central,174.7972840375492,-36.972453408937255
Harania West,174.8167369689803,-36.967075646107226
Randwick Park,174.91590170908387,-37.021919706518425
Newton,174.75832015576853,-36.8603962794121
Millhouse,174.91954575744722,-36.92002066673876
Edmonton,174.64216966480552,-36.864629405766244
Waima,174.63569579030798,-36.94579117437672
Pinehill,174.72363791234292,-36.73135341874708
One Tree Hill East,174.79751741015707,-36.900064122205336
Royal Heights,174.62892068976106,-36.832957163703945
Westlake,174.75389090287095,-36.78465820879886
Rongomai,174.89442199586796,-36.965801395627366
Mt Wellington West,174.83094863404804,-36.893571623933866
Huapai,174.54429773588777,-36.77034918895549
Urlich,174.59876004345185,-36.86114051092314
Ellerslie North,174.81634703000987,-36.893905266412716
Kumeu West,174.52494713311128,-36.774541473668314
Matakana,174.71363126260425,-36.35163431478345
Glen Innes North,174.86925989042126,-36.8658574375871
Ambury,174.76876491328792,-36.94778371790735
Stanmore Bay West,174.72784543789294,-36.62371090128698
Otara North,174.8755922924567,-36.95538953275614
Highland Park,174.90944027029602,-36.90452327080462
Riverhead,174.5575927035314,-36.71761536309755
Runciman,174.95066539187042,-37.13227261654229
Wade Heads,174.7336051386444,-36.63662361712291
Silverdale Central,174.6706761657081,-36.616277990376574
Matheson Bay,174.79731964563584,-36.29882364405551
Kumeu East,174.57565037158275,-36.770705294482
Waiwera,174.70406602482458,-36.55207615071601
Auckland Central East,174.76853830914104,-36.850960385007674
Springleigh,174.7078971014998,-36.885552890692296
Royal Road West,174.6125621560939,-36.83429281749459
Westgate,174.6126938850258,-36.82605008270149
Fairburn,174.84959809288733,-36.94696661657302
Walmsley,174.72568812392055,-36.900677032925095
Starling Park,174.6063995356996,-36.85820594168392
Kohimarama West,174.84172426527923,-36.85605720030672
Opaheke,174.9479905699471,-37.07686529170697
Ormiston,174.9274847768412,-36.97392260399702
Massey West,174.595065928789,-36.829780683149174
Manurewa East,174.90610665012744,-37.025850156845266
Henderson West,174.61650945053808,-36.88424343791233
Elsmore Park,174.89907900554127,-36.90860433699966
North Harbour East,174.70711259817128,-36.744824609815446
Favona South,174.81089298791508,-36.95587685712737
Patumahoe,174.82761494119598,-37.2023118216016
Kaipatiki,174.71485689531983,-36.784696055069595
Otahuhu North,174.8481544569798,-36.938731292218364
Rosehill,174.93746124279676,-37.079324450635454
Glen Innes West,174.85787717979355,-36.8737429005649
Browns Bay,174.7400743693463,-36.71373762313817
Kingseat,174.8382995621973,-37.132663953718286
Mt Eden North,174.76121864523904,-36.87033485528594
Hillsborough West,174.7515050317448,-36.91713083863094
South Head,174.30263581039884,-36.58197584162051
Papatoetoe West,174.84753984991718,-36.98703439125894
Beachhaven North,174.68937124286705,-36.791087031278984
Army Bay,174.82551413285876,-36.60561003845887
Otahuhu East,174.85770839263995,-36.93624570692405
Unsworth Heights,174.71603781065758,-36.75730790150331
Green Bay,174.68031828992181,-36.93010734115668
Howick West,174.91742042668832,-36.89509943723282
St Johns,174.84789450693899,-36.87610909459799
Glenbrook,174.75476806642016,-37.202224586652264
Grange,174.85270515388407,-36.96154810966954
Tuff Crater,174.75224640041975,-36.80204137729187
Redoubt North,174.8926630966699,-36.98597341550914
Murvale,174.9131704430705,-36.889786216736155
Cockle Bay,174.94337465349344,-36.900320590364416
Aiguilles Island,175.4052907016126,-36.03375236867461
Sandringham North,174.73925394469063,-36.88136299623224
Bremner,174.9297869767779,-37.111182595873636
Roberton,174.69956130382525,-36.8933699101352
Mt Eden South,174.75172513532584,-36.89583681548071
Surrey Crescent,174.7292003254815,-36.86473237605769
Abbotts Park,174.80869146747773,-36.88720311804536
Point View,174.92570243169746,-36.943060507014735
Hauraki,174.77761016660364,-36.79864005034747
Kaurilands,174.65585876839205,-36.92926500996924
Fruitvale,174.67180221713235,-36.916145503623255
Muriwai Valley,174.46001394581558,-36.829461910313285
Mission Heights,174.93276926659533,-36.958271679077534
Ardmore,174.97141945917224,-37.033861324957236
Pahurehure,174.93269719668547,-37.068605660490576
Waiuku West,174.72461196565303,-37.24816812538699
Paparata,175.10580236245102,-37.168301371716645
Beachhaven South,174.69329049807453,-36.8050979232555
Manurewa Central,174.8903033051741,-37.018867257852406
Gulf Harbour,174.79101100655737,-36.61901214779504
Homai West,174.8745998288613,-37.01919331999986
Clover Park,174.89308821517398,-36.97953221604035
Albany,174.6965041015456,-36.72217934809374
Mcleod,174.64848581647757,-36.87661561548129
Shelly Park,174.94711777066354,-36.9092495228655
Otahuhu West,174.83929777343815,-36.94706757446064
Arch Hill,174.7471641569855,-36.86530071834549
Epsom North,174.7714343641654,-36.87604991068291
Parnell East,174.78823965066653,-36.85980708535039
Onehunga North West,174.77861962420414,-36.912878710526584
Oratia,174.62915813049693,-36.91351385832711
Ranui Domain,174.6049724923489,-36.8652477719337
Papakura North,174.93743852739433,-37.05924909460945
St Lukes,174.73162412542257,-36.87532493373476
Meadowland,174.9342987603521,-36.91349181341667
Papakura Central,174.94476850289243,-37.06725647532766
Pakuranga North,174.88753794904846,-36.89784807097033
Lynnmall,174.68547881493703,-36.90886813710973
Onehunga North East,174.78948093255846,-36.90961713053007
Ponsonby West,174.7337920845932,-36.85013340001263
New Windsor,174.7137542754472,-36.905625653530976
Orakei South,174.8076923555725,-36.86956617157434
Laingholm,174.63045710648106,-36.963793496646375
Sandringham West,174.73220706668232,-36.889860141027754
Hingaia,174.91953241770094,-37.0771766624381
Otara East,174.88487438386807,-36.955829836167595
Ellerslie South,174.81141456668536,-36.90165982571385
Bombay,174.98342678507709,-37.191043313056845
Papakura North East,174.95080566716905,-37.055171964181
Hobsonville South,174.6449774393249,-36.80313601108161
Waikowhai East,174.74291208441116,-36.92805328269253
Otimai,174.6064595944681,-36.9312486037176
Redoubt South,174.90425881314945,-36.996616787705165
Pigeon Mountain North,174.90434580775428,-36.89112350337647
Clendon North,174.86002494892165,-37.02439717665756
Harania East,174.82385468886886,-36.959786352355664
Target Road,174.7300076117238,-36.76373602723343
Windsor Park,174.73077078470212,-36.74280248004048
Favona North,174.80892049078648,-36.94921407955245
Mascot,174.80680071299875,-36.971304962128535
McLaren Park,174.6194313205625,-36.89839509591117
Balmoral,174.7507966368635,-36.88194228446636
Waimumu North,174.6124081551905,-36.8411185592751
Grafton West,174.7656793244892,-36.859732411803776
Hyperion,174.9162895706946,-37.02779804914506
Stanmore Bay East,174.7417787413702,-36.62932084398075
Mt Wellington North,174.8402874446139,-36.90169705847421
Waiake,174.74237973678856,-36.70679507096621
Homai East,174.8815584577802,-37.02119067068684
Torbay,174.75019954861096,-36.695714084828914
Sturges North,174.60688537596647,-36.87707115850502
Islands-Motutapu Rangitoto Rakino,174.98527693015836,-36.805632632296685
Murrays Bay,174.7458923674951,-36.731432184089755
St Lukes North,174.7287252674823,-36.870424471450015
Woodglen,174.64362360632404,-36.916823694069016
Wellsford,174.52240206836868,-36.29266276836761
Grey Lynn East,174.74494240006482,-36.86141210621779
Ponsonby East,174.74167907496624,-36.85147095507638
Paremoremo West,174.61790574760292,-36.75631267889355
Long Bay,174.73061654156348,-36.68093765987123
Kelston Central,174.66527789169427,-36.898760176883656
Mt Eden East,174.7604736295881,-36.88516912129672
One Tree Hill Central,174.78202084715778,-36.89862767004015
Kaikoura and Rangiahua Islands,175.3188405475924,-36.18448440377563
Remuera West,174.7855277866426,-36.869263887757356
Glenfield North,174.7327792285759,-36.77493249389303
Golfland,174.9078644878306,-36.92154219773342
Kingsland,174.74420170003302,-36.872384319265706
Algies Bay,174.75541270480895,-36.44138330962739
Mangere Station,174.82799373631423,-36.95035748625123
Whangapouri Creek,174.89599692353573,-37.095542673242925
Bucklands and Eastern Beaches,174.9082896815079,-36.86817802029744
Swanson South,174.56846576860195,-36.8790936339362
Edgewater,174.87017492475525,-36.918751360866096
Te Atatu Central,174.64942020186027,-36.84709941510304
Awaruku,174.73189687446578,-36.69812379658373
Waipareira West,174.54156592724186,-36.82279970016727
Hamlin,174.83139943907392,-36.91115624656619
Lynfield North,174.72359772721742,-36.91769785309885
Owairaka West,174.71179921375474,-36.89558945656234
St Heliers,174.8604723268112,-36.852868892775014
Papatoetoe North,174.85109015605914,-36.971710024253376
Mairangi Bay,174.74757604552556,-36.741017240136344
Half Moon Bay,174.8959794589801,-36.88920712167639
Arahanga,174.7950396587683,-36.95924427221179
Warkworth,174.66098667929526,-36.403067469290626
Mangere East,174.8343395737771,-36.966813412067005
Fairview,174.71678402770536,-36.710090253344745
Glendene South,174.65782633080696,-36.893341606192685
Paremoremo East,174.6609178923125,-36.746655563288655
Mt Wellington Domain,174.84948467228247,-36.88885385987026
Beachlands-Maraetai,175.01789563591817,-36.89129763507751
Hillsborough East,174.7616490750033,-36.91981170406872
Clevedon,175.0672804100158,-36.99267720876205
Grafton East,174.76805611433818,-36.86247717441597
Pigeon Mountain South,174.89648593649605,-36.90006749767591
Ocean View,174.73989052964745,-36.79806520342117
Kilkenny,174.9259704847095,-36.92701563652665
Parrs Park,174.63172708681606,-36.90491429608618
Mt Albert Central,174.72183137808642,-36.88118834761386
Parrs Park West,174.62723056968508,-36.89967238625701
Owairaka East,174.71861688330776,-36.891404244064134
Northcross,174.7199583233413,-36.71886623867663
Sunnybrae,174.74026579105723,-36.78871050951459
Paerata-Cape Hill,174.91584471180647,-37.1817308678582
Fairdene,174.62529383038836,-36.86554068253863
Highbrook,174.8820223852344,-36.937911713657456
Cape Rodney,174.58537938476834,-36.26203580627865
Papatoetoe Central,174.86120914383304,-36.97771147621026
Matipo,174.64524189232375,-36.835417684852025
Freemans Bay,174.75046921877728,-36.853110415274855
Seacliffe,174.788628144832,-36.805878267805475
Meadowbank South,174.83020938327684,-36.880843916943405
Point Chevalier South,174.71307387591534,-36.87440411800572
Onehunga South East,174.78728845841434,-36.923661547985965
Totara Heights,174.9136154936599,-37.00888237193128
Orakei North,174.81913811878815,-36.854970171873816
Waterview,174.6993906560097,-36.87949508517794
Rowandale,174.8721581367226,-37.02856865185564
Maungawhau,174.75152783297995,-36.89052414148476
Papatoetoe East,174.87307814383587,-36.97354754386869
Mellons Bay,174.93262177556412,-36.890437841700845
Wakeling,174.64950960702885,-36.862211811809125
Dairy Flat-Redvale,174.67490409755334,-36.682367675247306
Campbells Bay,174.75590423166162,-36.749664039652096
Stonefields,174.83972718670654,-36.88833635332229
Taupaki,174.5712978262119,-36.820493990942104
Birkenhead East,174.73127053331385,-36.813940524084536
Helensville,174.45914058082712,-36.67405661608242
Birdwood East,174.6027882751279,-36.84772979116006
Bucklands Beach South,174.90624821286036,-36.88105373312591
Whenuapai West,174.61282615651038,-36.79805350681629
Ranui South,174.59576944311559,-36.87105121378503
Hunua,175.06363201520176,-37.11930122513468
Browns Island,174.8944543243444,-36.83063437902961
Waikowhai West,174.73162025991735,-36.92981897748749
Waiata,174.80723857404072,-36.87744700526203
Kaukapakapa,174.49748924123995,-36.62480632836532
Baverstock Oaks,174.9151551456371,-36.95450848449638
New Lynn South,174.6716555899908,-36.90794267273463
Mangere South,174.78137334265475,-36.98806367221643
Armour Bay,174.61327091934928,-36.97590474166446
Newmarket,174.77551247238787,-36.86621780206407
Mt Wellington South,174.84252887032832,-36.92293224060147
Mt St John,174.7827639045108,-36.885089879645015
Orewa,174.687108812862,-36.58633637390095
Muriwai Beach,174.4292486353201,-36.825246372362045
Glen Eden East,174.6566412980234,-36.91233002303977
Favona West,174.80011835127183,-36.9558934393588
Kauri Park,174.71458320252088,-36.80810604277568
Howick South,174.91746285634463,-36.90983380126717
Sandringham East,174.7382667832064,-36.893154323361934
Waitakere West,174.48040040496826,-36.85603181870092
Bledisloe Park,174.91533149358378,-37.21568818572638
Leigh,174.80374918427856,-36.29295664840212
Awhitu,174.63213335706317,-37.14981006876674
Helensville South,174.46418817132377,-36.696996629253796
Oaktree,174.73002231009423,-36.72056692595968
Auckland Central West,174.7593835926418,-36.85060113352723
Mt Hobson,174.78452770864544,-36.87816038350456
Birkdale South,174.70462880798507,-36.80095846635046
Stanley Bay,174.78441237938264,-36.82639097527242
Birdwood West,174.58565273890102,-36.85024719641585
Hobsonville East,174.64859801726075,-36.80150839009061
Blockhouse Bay,174.7018679238345,-36.923958221509324
Three Kings,174.74913527751943,-36.90261689449364
Point Chevalier West,174.70256689293916,-36.86632708891076
West Harbour,174.62361989378763,-36.82232642709865
Monarch Park,174.73037398835277,-36.7981446624142
Red Hill,174.97542212987463,-37.067507354526946
Chelsea,174.71128616731002,-36.81805377054673
Karekare,174.52180708051645,-36.9556060715031
Middlemore,174.84309055305536,-36.960417769727535
Avondale West,174.6880117705859,-36.894193750805506
Turanga,174.9882059975684,-36.936299694868495
Durham Green,174.65414963601054,-36.833119461112425
Aorere,174.82735390640673,-36.974717502634604
Greenhithe,174.68595937329115,-36.76901110630376
Waimauku,174.4870122905541,-36.765394459315885
Mill Road,174.925236437824,-37.007401622833285
Lynfield South,174.71882569495895,-36.92914612442253
Remuera South,174.79668855766755,-36.884535658046254
Dannemora,174.91537557988943,-36.93497260428696
Ferndale,174.8277806920131,-36.902664189217404
Omaha,174.78357014225455,-36.346223772303894
Bleakhouse,174.92416035442412,-36.88384875085306
Narrow Neck,174.79668730359464,-36.816038601209925
Takapuna Central,174.76895380240936,-36.78401774781119
Takanini West,174.91054249277613,-37.044166508323755
Takanini South,174.937615852575,-37.04589371008358
Tahekeroa,174.58547623428248,-36.600530659631076
Weymouth West,174.86163891250143,-37.04255506927555
Royal Oak,174.76736357192829,-36.90534684818643
Otara South,174.8775260738501,-36.970095028517555
