TA,Market.Rent.Area,Property.Type,Bedrooms,2013.Q3
Auckland,Mt Wellington North,Flat,3,NA
Auckland,Mt Wellington North,Flat,4,NA
Auckland,Mt Wellington North,Flat,5+,NA
Auckland,Mt Wellington North,Flat,Total,332.2727272727
Auckland,Mt Wellington North,House,1,NA
Auckland,Mt Wellington North,House,2,NA
Auckland,Mt Wellington North,House,3,470.3846153846
Auckland,Mt Wellington North,House,4,NA
Auckland,Mt Wellington North,House,5+,NA
Auckland,Mt Wellington North,House,Total,449.7368421053
Auckland,Mt Wellington North,Total,1,280.5555555556
Auckland,Mt Wellington North,Total,2,362.8571428571
Auckland,Mt Wellington North,Total,3,458.3333333333
Auckland,Mt Wellington North,Total,4,NA
Auckland,Mt Wellington North,Total,5+,NA
Auckland,Mt Wellington North,Total,Total,385.4545454545
Auckland,Newmarket,Apartment,1,330
Auckland,Newmarket,Apartment,2,519.6875
Auckland,Newmarket,Apartment,3,NA
Auckland,Newmarket,Apartment,4,NA
Auckland,Newmarket,Apartment,5+,NA
Auckland,Newmarket,Apartment,Total,513.8333333333
Auckland,Newmarket,Flat,1,341.5384615385
Auckland,Newmarket,Flat,2,NA
Auckland,Newmarket,Flat,3,NA
Auckland,Newmarket,Flat,4,NA
Auckland,Newmarket,Flat,5+,NA
Auckland,Newmarket,Flat,Total,383
Auckland,Newmarket,House,1,NA
Auckland,Newmarket,House,2,NA
Auckland,Newmarket,House,3,NA
Auckland,Newmarket,House,4,NA
Auckland,Newmarket,House,5+,NA
Auckland,Newmarket,House,Total,NA
Auckland,Newmarket,Total,1,331.9047619048
Auckland,Newmarket,Total,2,498.1578947368
Auckland,Newmarket,Total,3,773.3333333333
Auckland,Newmarket,Total,4,NA
Auckland,Newmarket,Total,5+,NA
Auckland,Newmarket,Total,Total,477.6785714286
Auckland,Newton/Grafton,Apartment,1,331.875
Auckland,Newton/Grafton,Apartment,2,451
Auckland,Newton/Grafton,Apartment,3,381.1538461538
Auckland,Newton/Grafton,Apartment,4,NA
Auckland,Newton/Grafton,Apartment,5+,NA
Auckland,Newton/Grafton,Apartment,Total,369.2957746479
Auckland,Newton/Grafton,Flat,1,322.0833333333
Auckland,Newton/Grafton,Flat,2,NA
Auckland,Newton/Grafton,Flat,3,NA
Auckland,Newton/Grafton,Flat,4,NA
Auckland,Newton/Grafton,Flat,5+,NA
Auckland,Newton/Grafton,Flat,Total,393.1578947368
Auckland,Newton/Grafton,House,1,NA
Auckland,Newton/Grafton,House,2,NA
Auckland,Newton/Grafton,House,3,NA
Auckland,Newton/Grafton,House,4,NA
Auckland,Newton/Grafton,House,5+,NA
Auckland,Newton/Grafton,House,Total,453.3333333333
Auckland,Newton/Grafton,Total,1,317.6315789474
Auckland,Newton/Grafton,Total,2,452.2727272727
Auckland,Newton/Grafton,Total,3,446.8421052632
Auckland,Newton/Grafton,Total,4,NA
Auckland,Newton/Grafton,Total,5+,NA
Auckland,Newton/Grafton,Total,Total,379.0825688073
Auckland,Onehunga/Oranga/Te Papapa,Apartment,1,NA
Auckland,Onehunga/Oranga/Te Papapa,Apartment,2,405
Auckland,Onehunga/Oranga/Te Papapa,Apartment,3,NA
Auckland,Onehunga/Oranga/Te Papapa,Apartment,4,NA
Auckland,Onehunga/Oranga/Te Papapa,Apartment,5+,NA
Auckland,Onehunga/Oranga/Te Papapa,Apartment,Total,423.4090909091
Auckland,Onehunga/Oranga/Te Papapa,Flat,1,298.9285714286
Auckland,Onehunga/Oranga/Te Papapa,Flat,2,388.2954545455
Auckland,Onehunga/Oranga/Te Papapa,Flat,3,408.3333333333
Auckland,Onehunga/Oranga/Te Papapa,Flat,4,NA
Auckland,Onehunga/Oranga/Te Papapa,Flat,5+,NA
Auckland,Onehunga/Oranga/Te Papapa,Flat,Total,368.0434782609
Auckland,Onehunga/Oranga/Te Papapa,House,1,NA
Auckland,Onehunga/Oranga/Te Papapa,House,2,427.3076923077
Auckland,Onehunga/Oranga/Te Papapa,House,3,525.3571428571
Auckland,Onehunga/Oranga/Te Papapa,House,4,589.375
Auckland,Onehunga/Oranga/Te Papapa,House,5+,NA
Auckland,Onehunga/Oranga/Te Papapa,House,Total,500.8771929825
Auckland,Onehunga/Oranga/Te Papapa,Total,1,282.6086956522
Auckland,Onehunga/Oranga/Te Papapa,Total,2,398.6301369863
Auckland,Onehunga/Oranga/Te Papapa,Total,3,503.6842105263
Auckland,Onehunga/Oranga/Te Papapa,Total,4,607.2222222222
Auckland,Onehunga/Oranga/Te Papapa,Total,5+,NA
Auckland,Onehunga/Oranga/Te Papapa,Total,Total,423.2317073171
Auckland,Otahuhu,Apartment,1,NA
Auckland,Otahuhu,Apartment,2,NA
Auckland,Otahuhu,Apartment,3,NA
Auckland,Otahuhu,Apartment,4,NA
Auckland,Otahuhu,Apartment,5+,NA
Auckland,Otahuhu,Apartment,Total,NA
Auckland,Otahuhu,Flat,1,262.5
Auckland,Otahuhu,Flat,2,317.3333333333
Auckland,Otahuhu,Flat,3,NA
Auckland,Otahuhu,Flat,4,NA
Auckland,Otahuhu,Flat,5+,NA
Auckland,Otahuhu,Flat,Total,296
Auckland,Otahuhu,House,1,NA
Auckland,Otahuhu,House,2,NA
Auckland,Otahuhu,House,3,392.1428571429
Auckland,Otahuhu,House,4,466
Auckland,Otahuhu,House,5+,NA
Auckland,Otahuhu,House,Total,393.2926829268
Auckland,Otahuhu,Total,1,238.4210526316
Auckland,Otahuhu,Total,2,335.1388888889
Auckland,Otahuhu,Total,3,390.6818181818
Auckland,Otahuhu,Total,4,466
Auckland,Otahuhu,Total,5+,NA
Auckland,Otahuhu,Total,Total,338.0165289256
Auckland,Panmure,Apartment,1,NA
Auckland,Panmure,Apartment,2,NA
Auckland,Panmure,Apartment,3,NA
Auckland,Panmure,Apartment,4,NA
Auckland,Panmure,Apartment,5+,NA
Auckland,Panmure,Apartment,Total,NA
Auckland,Panmure,Flat,1,244.2857142857
Auckland,Panmure,Flat,2,348.3333333333
Auckland,Panmure,Flat,3,NA
Auckland,Panmure,Flat,4,NA
Auckland,Panmure,Flat,5+,NA
Auckland,Panmure,Flat,Total,301.875
Auckland,Panmure,House,1,NA
Auckland,Panmure,House,2,390.7142857143
Auckland,Panmure,House,3,471.8181818182
Auckland,Panmure,House,4,NA
Auckland,Panmure,House,5+,NA
Auckland,Panmure,House,Total,433.75
Auckland,Panmure,Total,1,231.25
Auckland,Panmure,Total,2,371.7857142857
Auckland,Panmure,Total,3,459
Auckland,Panmure,Total,4,NA
Auckland,Panmure,Total,5+,NA
Auckland,Panmure,Total,Total,380.7777777778
Auckland,Parnell,Apartment,1,402.5
Auckland,Parnell,Apartment,2,624
Auckland,Parnell,Apartment,3,NA
Auckland,Parnell,Apartment,4,NA
Auckland,Parnell,Apartment,5+,NA
Auckland,Parnell,Apartment,Total,566.935483871
Auckland,Parnell,Flat,1,366.9078947368
Auckland,Parnell,Flat,2,513.9473684211
Auckland,Parnell,Flat,3,NA
Auckland,Parnell,Flat,4,NA
Auckland,Parnell,Flat,5+,NA
Auckland,Parnell,Flat,Total,454.3465909091
Auckland,Parnell,House,1,NA
Auckland,Parnell,House,2,563
Auckland,Parnell,House,3,739.5454545455
Auckland,Parnell,House,4,NA
Auckland,Parnell,House,5+,NA
Auckland,Parnell,House,Total,734.4
Auckland,Parnell,Total,1,368.2083333333
Auckland,Parnell,Total,2,562.5641025641
Auckland,Parnell,Total,3,767.5
Auckland,Parnell,Total,4,NA
Auckland,Parnell,Total,5+,NA
Auckland,Parnell,Total,Total,563.737745098
Auckland,Penrose/Mt Wellington South,Apartment,1,NA
Auckland,Penrose/Mt Wellington South,Apartment,2,NA
Auckland,Penrose/Mt Wellington South,Apartment,3,NA
Auckland,Penrose/Mt Wellington South,Apartment,4,NA
Auckland,Penrose/Mt Wellington South,Apartment,5+,NA
Auckland,Penrose/Mt Wellington South,Apartment,Total,NA
Auckland,Penrose/Mt Wellington South,Flat,1,NA
Auckland,Penrose/Mt Wellington South,Flat,2,337.8947368421
Auckland,Penrose/Mt Wellington South,Flat,3,NA
Auckland,Penrose/Mt Wellington South,Flat,4,NA
Auckland,Penrose/Mt Wellington South,Flat,5+,NA
Auckland,Penrose/Mt Wellington South,Flat,Total,360.8695652174
Auckland,Penrose/Mt Wellington South,House,1,NA
Auckland,Penrose/Mt Wellington South,House,2,399.2857142857
Auckland,Penrose/Mt Wellington South,House,3,462
Auckland,Penrose/Mt Wellington South,House,4,572
Auckland,Penrose/Mt Wellington South,House,5+,NA
Auckland,Penrose/Mt Wellington South,House,Total,464.2682926829
Auckland,Penrose/Mt Wellington South,Total,1,370
Auckland,Penrose/Mt Wellington South,Total,2,355.7142857143
Auckland,Penrose/Mt Wellington South,Total,3,462
Auckland,Penrose/Mt Wellington South,Total,4,572
Auckland,Penrose/Mt Wellington South,Total,5+,NA
Auckland,Penrose/Mt Wellington South,Total,Total,425.0563380282
Auckland,Ponsonby/Freemans Bay,Apartment,1,406.6666666667
Auckland,Ponsonby/Freemans Bay,Apartment,2,524
Auckland,Ponsonby/Freemans Bay,Apartment,3,NA
Auckland,Ponsonby/Freemans Bay,Apartment,4,NA
Auckland,Ponsonby/Freemans Bay,Apartment,5+,NA
Auckland,Ponsonby/Freemans Bay,Apartment,Total,443.4782608696
Auckland,Ponsonby/Freemans Bay,Flat,1,367.1428571429
Auckland,Ponsonby/Freemans Bay,Flat,2,522.7777777778
Auckland,Ponsonby/Freemans Bay,Flat,3,NA
Auckland,Ponsonby/Freemans Bay,Flat,4,NA
Auckland,Ponsonby/Freemans Bay,Flat,5+,NA
Auckland,Ponsonby/Freemans Bay,Flat,Total,451.1111111111
Auckland,Ponsonby/Freemans Bay,House,1,NA
Auckland,Ponsonby/Freemans Bay,House,2,657.7777777778
Auckland,Ponsonby/Freemans Bay,House,3,778.9130434783
Auckland,Ponsonby/Freemans Bay,House,4,841
Auckland,Ponsonby/Freemans Bay,House,5+,NA
Auckland,Ponsonby/Freemans Bay,House,Total,762.3863636364
Auckland,Ponsonby/Freemans Bay,Total,1,395.8620689655
Auckland,Ponsonby/Freemans Bay,Total,2,575.8695652174
Auckland,Ponsonby/Freemans Bay,Total,3,741.8518518519
Auckland,Ponsonby/Freemans Bay,Total,4,842.1428571429
Auckland,Ponsonby/Freemans Bay,Total,5+,NA
Auckland,Ponsonby/Freemans Bay,Total,Total,589.6428571429
Auckland,Pt Chevalier,Apartment,1,NA
Auckland,Pt Chevalier,Apartment,2,NA
Auckland,Pt Chevalier,Apartment,3,NA
Auckland,Pt Chevalier,Apartment,4,NA
Auckland,Pt Chevalier,Apartment,5+,NA
Auckland,Pt Chevalier,Apartment,Total,NA
Auckland,Pt Chevalier,Flat,1,NA
Auckland,Pt Chevalier,Flat,2,380.625
Auckland,Pt Chevalier,Flat,3,NA
Auckland,Pt Chevalier,Flat,4,NA
Auckland,Pt Chevalier,Flat,5+,NA
Auckland,Pt Chevalier,Flat,Total,357.1428571429
Auckland,Pt Chevalier,House,1,NA
Auckland,Pt Chevalier,House,2,NA
Auckland,Pt Chevalier,House,3,645.8333333333
Auckland,Pt Chevalier,House,4,741.6666666667
Auckland,Pt Chevalier,House,5+,NA
Auckland,Pt Chevalier,House,Total,616.3461538462
Auckland,Pt Chevalier,Total,1,275.3
Auckland,Pt Chevalier,Total,2,422.0833333333
Auckland,Pt Chevalier,Total,3,619.2307692308
Auckland,Pt Chevalier,Total,4,685.7142857143
Auckland,Pt Chevalier,Total,5+,NA
Auckland,Pt Chevalier,Total,Total,499.2127659574
Auckland,Remuera,Apartment,1,NA
Auckland,Remuera,Apartment,2,NA
Auckland,Remuera,Apartment,3,NA
Auckland,Remuera,Apartment,4,NA
Auckland,Remuera,Apartment,5+,NA
Auckland,Remuera,Apartment,Total,637.5
Auckland,Remuera,Flat,1,270.625
Auckland,Remuera,Flat,2,472.7692307692
Auckland,Remuera,Flat,3,608
Auckland,Remuera,Flat,4,NA
Auckland,Remuera,Flat,5+,NA
Auckland,Remuera,Flat,Total,465.5517241379
Auckland,Remuera,House,1,NA
Auckland,Remuera,House,2,555.5555555556
Auckland,Remuera,House,3,647.8947368421
Auckland,Remuera,House,4,755.8823529412
Auckland,Remuera,House,5+,NA
Auckland,Remuera,House,Total,683.7037037037
Auckland,Remuera,Total,1,260.8333333333
Auckland,Remuera,Total,2,520.962962963
Auckland,Remuera,Total,3,665.3846153846
Auckland,Remuera,Total,4,753.6111111111
Auckland,Remuera,Total,5+,NA
Auckland,Remuera,Total,Total,608.41
Auckland,Remuera South/Meadowbank South,Apartment,1,NA
Auckland,Remuera South/Meadowbank South,Apartment,2,NA
Auckland,Remuera South/Meadowbank South,Apartment,3,NA
Auckland,Remuera South/Meadowbank South,Apartment,4,NA
Auckland,Remuera South/Meadowbank South,Apartment,5+,NA
Auckland,Remuera South/Meadowbank South,Apartment,Total,NA
Auckland,Remuera South/Meadowbank South,Flat,1,319
Auckland,Remuera South/Meadowbank South,Flat,2,400.8333333333
Auckland,Remuera South/Meadowbank South,Flat,3,NA
Auckland,Remuera South/Meadowbank South,Flat,4,NA
Auckland,Remuera South/Meadowbank South,Flat,5+,NA
Auckland,Remuera South/Meadowbank South,Flat,Total,418.9583333333
Auckland,Remuera South/Meadowbank South,House,1,NA
Auckland,Remuera South/Meadowbank South,House,2,NA
Auckland,Remuera South/Meadowbank South,House,3,718.1965
Auckland,Remuera South/Meadowbank South,House,4,668.2142857143
Auckland,Remuera South/Meadowbank South,House,5+,NA
Auckland,Remuera South/Meadowbank South,House,Total,682.0211363636
Auckland,Remuera South/Meadowbank South,Total,1,319
Auckland,Remuera South/Meadowbank South,Total,2,422.6315789474
Auckland,Remuera South/Meadowbank South,Total,3,680.9572
Auckland,Remuera South/Meadowbank South,Total,4,663.6666666667
Auckland,Remuera South/Meadowbank South,Total,5+,NA
Auckland,Remuera South/Meadowbank South,Total,Total,565.4406493506
Auckland,Royal Oak/One Tree Hill,Apartment,1,NA
Auckland,Royal Oak/One Tree Hill,Apartment,2,471
Auckland,Royal Oak/One Tree Hill,Apartment,3,NA
Auckland,Royal Oak/One Tree Hill,Apartment,4,NA
Auckland,Royal Oak/One Tree Hill,Apartment,5+,NA
Auckland,Royal Oak/One Tree Hill,Apartment,Total,453.5714285714
Auckland,Royal Oak/One Tree Hill,Flat,1,264
Auckland,Royal Oak/One Tree Hill,Flat,2,467.5
Auckland,Royal Oak/One Tree Hill,Flat,3,NA
Auckland,Royal Oak/One Tree Hill,Flat,4,NA
Auckland,Royal Oak/One Tree Hill,Flat,5+,NA
Auckland,Royal Oak/One Tree Hill,Flat,Total,428.7037037037
Auckland,Royal Oak/One Tree Hill,House,1,NA
Auckland,Royal Oak/One Tree Hill,House,2,468.75
Auckland,Royal Oak/One Tree Hill,House,3,559.4736842105
Auckland,Royal Oak/One Tree Hill,House,4,644
Auckland,Royal Oak/One Tree Hill,House,5+,NA
Auckland,Royal Oak/One Tree Hill,House,Total,566.3157894737
Auckland,Royal Oak/One Tree Hill,Total,1,275.8823529412
Auckland,Royal Oak/One Tree Hill,Total,2,468.2258064516
Auckland,Royal Oak/One Tree Hill,Total,3,535
Auckland,Royal Oak/One Tree Hill,Total,4,636.6666666667
Auckland,Royal Oak/One Tree Hill,Total,5+,NA
Auckland,Royal Oak/One Tree Hill,Total,Total,487.2105263158
Auckland,St Helliers/Glendowie,Apartment,1,NA
Auckland,St Helliers/Glendowie,Apartment,2,NA
Auckland,St Helliers/Glendowie,Apartment,3,NA
Auckland,St Helliers/Glendowie,Apartment,4,NA
Auckland,St Helliers/Glendowie,Apartment,5+,NA
Auckland,St Helliers/Glendowie,Apartment,Total,NA
Auckland,St Helliers/Glendowie,Flat,1,367
Auckland,St Helliers/Glendowie,Flat,2,437.3076923077
Auckland,St Helliers/Glendowie,Flat,3,NA
Auckland,St Helliers/Glendowie,Flat,4,NA
Auckland,St Helliers/Glendowie,Flat,5+,NA
Auckland,St Helliers/Glendowie,Flat,Total,439.7916666667
Auckland,St Helliers/Glendowie,House,1,NA
Auckland,St Helliers/Glendowie,House,2,486.6666666667
Auckland,St Helliers/Glendowie,House,3,645.8333333333
Auckland,St Helliers/Glendowie,House,4,877.3529411765
Auckland,St Helliers/Glendowie,House,5+,NA
Auckland,St Helliers/Glendowie,House,Total,723.3333333333
Auckland,St Helliers/Glendowie,Total,1,374.5454545455
Auckland,St Helliers/Glendowie,Total,2,449.7826086957
Auckland,St Helliers/Glendowie,Total,3,645.8333333333
Auckland,St Helliers/Glendowie,Total,4,877.3529411765
Auckland,St Helliers/Glendowie,Total,5+,NA
Auckland,St Helliers/Glendowie,Total,Total,625.2564102564
Auckland,St Johns,Apartment,1,NA
Auckland,St Johns,Apartment,2,NA
Auckland,St Johns,Apartment,3,NA
Auckland,St Johns,Apartment,4,NA
Auckland,St Johns,Apartment,5+,NA
Auckland,St Johns,Apartment,Total,366.4285714286
Auckland,St Johns,Flat,1,NA
Auckland,St Johns,Flat,2,363
Auckland,St Johns,Flat,3,NA
Auckland,St Johns,Flat,4,NA
Auckland,St Johns,Flat,5+,NA
Auckland,St Johns,Flat,Total,375.5263157895
Auckland,St Johns,House,1,NA
Auckland,St Johns,House,2,NA
Auckland,St Johns,House,3,542.1428571429
Auckland,St Johns,House,4,717.5
Auckland,St Johns,House,5+,NA
Auckland,St Johns,House,Total,546.6666666667
Auckland,St Johns,Total,1,236.875
Auckland,St Johns,Total,2,361.25
Auckland,St Johns,Total,3,530.625
Auckland,St Johns,Total,4,686.875
Auckland,St Johns,Total,5+,NA
Auckland,St Johns,Total,Total,448.3333333333
Auckland,St Lukes/Sandringham,Apartment,1,NA
Auckland,St Lukes/Sandringham,Apartment,2,409.1666666667
Auckland,St Lukes/Sandringham,Apartment,3,NA
Auckland,St Lukes/Sandringham,Apartment,4,NA
Auckland,St Lukes/Sandringham,Apartment,5+,NA
Auckland,St Lukes/Sandringham,Apartment,Total,431.875
Auckland,St Lukes/Sandringham,Flat,1,277.7272727273
Auckland,St Lukes/Sandringham,Flat,2,362.4137931034
Auckland,St Lukes/Sandringham,Flat,3,NA
Auckland,St Lukes/Sandringham,Flat,4,NA
Auckland,St Lukes/Sandringham,Flat,5+,NA
Auckland,St Lukes/Sandringham,Flat,Total,342.619047619
Auckland,St Lukes/Sandringham,House,1,NA
Auckland,St Lukes/Sandringham,House,2,NA
Auckland,St Lukes/Sandringham,House,3,560.9615384615
Auckland,St Lukes/Sandringham,House,4,660
Auckland,St Lukes/Sandringham,House,5+,NA
Auckland,St Lukes/Sandringham,House,Total,556.0810810811
Auckland,St Lukes/Sandringham,Total,1,243.2
Auckland,St Lukes/Sandringham,Total,2,374.4736842105
Auckland,St Lukes/Sandringham,Total,3,560.1785714286
Auckland,St Lukes/Sandringham,Total,4,660
Auckland,St Lukes/Sandringham,Total,5+,NA
Auckland,St Lukes/Sandringham,Total,Total,426.3267326733
Auckland,Three Kings,Apartment,1,NA
Auckland,Three Kings,Apartment,2,NA
Auckland,Three Kings,Apartment,3,NA
Auckland,Three Kings,Apartment,4,NA
Auckland,Three Kings,Apartment,5+,NA
Auckland,Three Kings,Apartment,Total,NA
Auckland,Three Kings,Flat,1,NA
Auckland,Three Kings,Flat,2,382.8571428571
Auckland,Three Kings,Flat,3,NA
Auckland,Three Kings,Flat,4,NA
Auckland,Three Kings,Flat,5+,NA
Auckland,Three Kings,Flat,Total,372.5
Auckland,Three Kings,House,1,NA
Auckland,Three Kings,House,2,NA
Auckland,Three Kings,House,3,518.5
Auckland,Three Kings,House,4,NA
Auckland,Three Kings,House,5+,NA
Auckland,Three Kings,House,Total,496.1764705882
Auckland,Three Kings,Total,1,NA
Auckland,Three Kings,Total,2,406.3636363636
Auckland,Three Kings,Total,3,518.5
Auckland,Three Kings,Total,4,NA
Auckland,Three Kings,Total,5+,NA
Auckland,Three Kings,Total,Total,424.8333333333
Auckland,Waiheke Island,Apartment,1,NA
Auckland,Waiheke Island,Apartment,2,NA
Auckland,Waiheke Island,Apartment,3,NA
Auckland,Waiheke Island,Apartment,4,NA
Auckland,Waiheke Island,Apartment,5+,NA
Auckland,Waiheke Island,Apartment,Total,NA
Auckland,Waiheke Island,Flat,1,351
Auckland,Waiheke Island,Flat,2,NA
Auckland,Waiheke Island,Flat,3,NA
Auckland,Waiheke Island,Flat,4,NA
Auckland,Waiheke Island,Flat,5+,NA
Auckland,Waiheke Island,Flat,Total,392.5
Auckland,Waiheke Island,House,1,295
Auckland,Waiheke Island,House,2,379.4583333333
Auckland,Waiheke Island,House,3,523.1578947368
Auckland,Waiheke Island,House,4,NA
Auckland,Waiheke Island,House,5+,NA
Auckland,Waiheke Island,House,Total,433.8666666667
Auckland,Waiheke Island,Total,1,294.6666666667
Auckland,Waiheke Island,Total,2,398.5666666667
Auckland,Waiheke Island,Total,3,523.1578947368
Auckland,Waiheke Island,Total,4,NA
Auckland,Waiheke Island,Total,5+,NA
Auckland,Waiheke Island,Total,Total,429.525
Auckland,Waterview/Avondale Heights,Apartment,1,NA
Auckland,Waterview/Avondale Heights,Apartment,2,NA
Auckland,Waterview/Avondale Heights,Apartment,3,NA
Auckland,Waterview/Avondale Heights,Apartment,4,NA
Auckland,Waterview/Avondale Heights,Apartment,5+,NA
Auckland,Waterview/Avondale Heights,Apartment,Total,NA
Auckland,Waterview/Avondale Heights,Flat,1,NA
Auckland,Waterview/Avondale Heights,Flat,2,NA
Auckland,Waterview/Avondale Heights,Flat,3,NA
Auckland,Waterview/Avondale Heights,Flat,4,NA
Auckland,Waterview/Avondale Heights,Flat,5+,NA
Auckland,Waterview/Avondale Heights,Flat,Total,328
Auckland,Waterview/Avondale Heights,House,1,NA
Auckland,Waterview/Avondale Heights,House,2,369.375
Auckland,Waterview/Avondale Heights,House,3,447.5
Auckland,Waterview/Avondale Heights,House,4,534.2857142857
Auckland,Waterview/Avondale Heights,House,5+,NA
Auckland,Waterview/Avondale Heights,House,Total,459.1666666667
Auckland,Waterview/Avondale Heights,Total,1,280.8333333333
Auckland,Waterview/Avondale Heights,Total,2,366.3636363636
Auckland,Waterview/Avondale Heights,Total,3,440.7142857143
Auckland,Waterview/Avondale Heights,Total,4,534.2857142857
Auckland,Waterview/Avondale Heights,Total,5+,NA
Auckland,Waterview/Avondale Heights,Total,Total,431.25
Auckland,Western Springs/Morningside,Apartment,1,NA
Auckland,Western Springs/Morningside,Apartment,2,436.875
Auckland,Western Springs/Morningside,Apartment,3,NA
Auckland,Western Springs/Morningside,Apartment,4,NA
Auckland,Western Springs/Morningside,Apartment,5+,NA
Auckland,Western Springs/Morningside,Apartment,Total,453.3333333333
Auckland,Western Springs/Morningside,Flat,1,281.25
Auckland,Western Springs/Morningside,Flat,2,380.3571428571
Auckland,Western Springs/Morningside,Flat,3,NA
Auckland,Western Springs/Morningside,Flat,4,NA
Auckland,Western Springs/Morningside,Flat,5+,NA
Auckland,Western Springs/Morningside,Flat,Total,337.8
Auckland,Western Springs/Morningside,House,1,NA
Auckland,Western Springs/Morningside,House,2,NA
Auckland,Western Springs/Morningside,House,3,635.5555555556
Auckland,Western Springs/Morningside,House,4,NA
Auckland,Western Springs/Morningside,House,5+,NA
Auckland,Western Springs/Morningside,House,Total,655.625
Auckland,Western Springs/Morningside,Total,1,281.25
Auckland,Western Springs/Morningside,Total,2,405.625
Auckland,Western Springs/Morningside,Total,3,606.25
Auckland,Western Springs/Morningside,Total,4,617
Auckland,Western Springs/Morningside,Total,5+,NA
Auckland,Western Springs/Morningside,Total,Total,463.7962962963
Auckland,Westmere/Surrey Crescent,Apartment,1,490.8333333333
Auckland,Westmere/Surrey Crescent,Apartment,2,721.875
Auckland,Westmere/Surrey Crescent,Apartment,3,NA
Auckland,Westmere/Surrey Crescent,Apartment,4,NA
Auckland,Westmere/Surrey Crescent,Apartment,5+,NA
Auckland,Westmere/Surrey Crescent,Apartment,Total,601.9444444444
Auckland,Westmere/Surrey Crescent,Flat,1,NA
Auckland,Westmere/Surrey Crescent,Flat,2,405
Auckland,Westmere/Surrey Crescent,Flat,3,NA
Auckland,Westmere/Surrey Crescent,Flat,4,NA
Auckland,Westmere/Surrey Crescent,Flat,5+,NA
Auckland,Westmere/Surrey Crescent,Flat,Total,480.625
Auckland,Westmere/Surrey Crescent,House,1,NA
Auckland,Westmere/Surrey Crescent,House,2,NA
Auckland,Westmere/Surrey Crescent,House,3,679.3333333333
Auckland,Westmere/Surrey Crescent,House,4,NA
Auckland,Westmere/Surrey Crescent,House,5+,NA
Auckland,Westmere/Surrey Crescent,House,Total,647.6923076923
Auckland,Westmere/Surrey Crescent,Total,1,422.5
Auckland,Westmere/Surrey Crescent,Total,2,599.6666666667
Auckland,Westmere/Surrey Crescent,Total,3,670.2631578947
Auckland,Westmere/Surrey Crescent,Total,4,NA
Auckland,Westmere/Surrey Crescent,Total,5+,NA
Auckland,Westmere/Surrey Crescent,Total,Total,598.7288135593
